address,balance,share
0xb94f5256b4b87bb7366fa85963ae041a31f2ccfe,5.3166310404806e+25,53.17
0x23cea12bb111bd5d94a01827e41a8daa595bbcc5,2.5e+25,25
0x8183a95b029620131b154d63ea32000eecd9039c,1.5e+25,15
0x0d8b60c2abe31009cf17bcabf9051bc1d91e3a6d,2.095536e+24,2.1
0xd649c7d6e9f27c37196d78bdde453bfdbfff1368,1.251836e+24,1.25
0x0c73bb0b98ff51e03e43df7a04d5af184a1526f5,1.5262557499692e+23,0.15
0xf01b448b9cbc4e08f88b4f08c638ba0cebd25aed,1.1291032333086e+23,0.11
0x503f9794d6a6bb0df8fbb19a2b3e2aeab35339ad,1.0004e+23,0.1
0xfcccb98cd1bd1b4609b4a40064a4a61b3cb892c1,1e+23,0.1
0xa6b116b3d90a47e4be6441096f7bec38da7b6560,7.3478e+22,0.07
0x44d1b2d10af26ca74e2483fbabe6131d180b0889,4.8257e+22,0.05
0xd8b1d13f3b573e935ef35f9e3e3c8da6c7ebac43,4.204103342298e+22,0.04
0xf45ce2e4c3121e7d82ab5ee4148cf92d46b87375,3.848e+22,0.04
0x66351b9bac4f033d90409fe60c53f8a64b69e193,3.25e+22,0.03
0xa04151cad0ff37509fc9e86576c833ef8eafc568,3.25e+22,0.03
0x916594daa8ba1f920a6d22deff4d4e59d7d15b61,2.908e+22,0.03
0x15e2f69bc62bce143e472c5b0599071f28cc2f1d,2.6372e+22,0.03
0x2babd68c4b2b8a46e185d3ecde4d95b37c6ea557,2.562e+22,0.03
0x98449889c4b791d1380c30b93e0278ee430eb116,2.338e+22,0.02
0xe288d6798f13fa3cf24b352321804fc7440a1844,2.15e+22,0.02
0xc8db398a047b404a3c07b3d894c1519e0457cdb8,2e+22,0.02
0xdbad122902e3bdc6620861b3d83db1407edfd5a2,1.911024909289e+22,0.02
0x8b219418ab7c511b4710551dcabdb336a977ba56,1.8e+22,0.02
0x2ff58847ad67492afff88086c7bc6497dd07d52f,1.768e+22,0.02
0x3ef0c744adf632e9ef484ed84e2baa5cb2d0bd9b,1.3e+22,0.01
0xcddbca45d24c868579dc2df93400f98c95c5dbc7,1.27323561304e+22,0.01
0x10c9c12fc06443f5cb4d260e145d17be019c5e4c,1.1477558488886e+22,0.01
0x6de099dc01cc2ebf510cb84afb62b8c18c8a6ca9,1e+22,0.01
0x88f63972fc82b5a1b5122f0e534f5422696055d6,1e+22,0.01
0x7593a56da538b8b99d34efdd2ece538238efee99,1e+22,0.01
0x114df7d161d20311d7dadc662fd896c79060d220,1e+22,0.01
0x09df3f003cef4e6e6309ee5a6cb8fe3e06909a20,1e+22,0.01
0x5e9345db2f97d0bf057f85cab020d8b94b8c6509,9.4852390632e+21,0.01
0x42a269e4af250715263d2b5c522f36ed5ada39ef,9.39e+21,0.01
0x292e28468bbdff38878c4b09f5bf76d960cbfbb1,9.2e+21,0.01
0x97f7e1da0c6540a808e9d638ba4dd20900d56ef8,8.86e+21,0.01
0x1cfeb399d7560ead13fba04092ef6e993bb1a2f8,8.832e+21,0.01
0x2f23dec44155f7786d8296112b6754879b7f7efc,8.772e+21,0.01
0xbeca8ce3a9a227861086b592ef2364d1a3219ff3,7.454e+21,0.01
0x71e3f7b8769785477cfb117735e4ec6f8afdc057,7.409e+21,0.01
0x4b7f0d5620ffc5fdf9a25ed654c47c076f905dda,7.3e+21,0.01
0x75a5aa3b29dade574fb7648c3491f95d0c415dcf,7.2e+21,0.01
0xba8247921206a9147e402d53cc9bc7ac92a7ba0c,6.46e+21,0.01
0xcca81943b160e15978ec29d342510faf3f62f058,6.04e+21,0.01
0x96bcb7e0226dff8106d3fc0ac379cdbceb7873f7,6e+21,0.01
0xfc5ae7521e3685a5962df94f506a0191e8bc92b2,6e+21,0.01
0x62bed032d1894f425df13ab6d45e1add2dd54f5b,6e+21,0.01
0x0b005d809eda90ee85fe29741c4c26cdbf678801,6e+21,0.01
0x3708c8579d8ebeff2807c17ce9c4fb6f3a46f4c5,5.97e+21,0.01
0xa61e8d8557781bbcb69a449946fd9cf67a519425,5.97e+21,0.01
0x79f2170f92bdb488b1145b6b536f1cf1df4fe363,5.712e+21,0.01
0x2778086c16dfbf268c0aaedc45cab152f54233e2,5.44e+21,0.01
0x17054f53f10fc5731e183ec56cb26f99c6ce5733,5.25557726214e+21,0.01
0x5b34829ce3e97a30a430b46b653822e46c4231b2,4.935e+21,0
0x359561fb990f2369d6d9ab784d1d327c1ebcc67b,4.615e+21,0
0x62a2978fa9b52ad857d78714fe8f7930abd81171,4.58e+21,0
0x68bea029960e79d74de9a8186302c2a544cc084b,4.16714742857e+21,0
0x570ebcd494fc369c5f87d3e8d0412a28a47bb6f8,4.14e+21,0
0x0fab1bc9ce82f9c8b9a4c01c957544fac311c96e,4.12e+21,0
0xbf1544b159c6f6bc70b8b34de7943862ff4d7a46,3.64e+21,0
0x633b512b9cf673146e402ff569dacc5ae28d962b,3.5e+21,0
0xbfcbc28e1cdfbf99c3c95acc9a653d7bca657442,3.36e+21,0
0x1ac13c6c8d4d1b1d5f043d1e7cb28e0511379d8e,3.3e+21,0
0xf52483a6ee1ed3c20ddad6bec895e8a55e8d180a,3.218e+21,0
0x730ef51499b0ed19e5b95a09a03353491c85d88a,3.2e+21,0
0x3e25cba7dd7391dc7b1629c673ff2ef72b17e992,3.12e+21,0
0x30dd9e2516a528af7e4b4bdcdc52fd0ba96ae2fd,3e+21,0
0x648b5b225da03798289a36c3329ba2aa06c7138c,2.858e+21,0
0x62e894701794526c531eceaf772fb32c9b08f325,2.68e+21,0
0x1b31076af96ee57d98a1198d088c4c14c1f582e4,2.52e+21,0
0x6ca7d7401ec1cf8b1728cb5d9112723191d3f20f,2.5e+21,0
0xa635116410468745dcbbdc807473d92de63f74e2,2.44e+21,0
0x26ee90ba1f0898c2a50796270cb1b376c2742dab,2.36e+21,0
0x3d439676b7b5572e23f9e0be7e2ce3cc6121d0bd,2.2e+21,0
0xd1cf29b82869df2d81c65af2e1b53103a22a6cd3,2.156e+21,0
0x29b7dae951cd1a48de048b020c4f85be6865d2b6,2.08e+21,0
0xf116b9f636992202c9f6f7684ce2f8a474b4eddd,2e+21,0
0x5c59a474dacfb657fc324d5833cb8f699018d938,1.92e+21,0
0xdcf15c9564f4d7cf62f64e9b8855c139ab990b99,1.92e+21,0
0x6204c634f06fa6a45e1f0e2a89c752f8450cdfad,1.86e+21,0
0xc07bbd1d19666d4c0a0946306fafbffc370263dc,1.76e+21,0
0xab6e1e52818c287b7eea9cdb73cbcef081fa4295,1.73e+21,0
0xce9f2ae7a028a8188041accd2098ffaf45459572,1.719e+21,0
0xc3548dc17862ae2025559d1b498fa8d534c04681,1.65e+21,0
0x28d5cceec91c6df4ed3c4c4c5c2e836d63714667,1.6e+21,0
0x692bc1ac37eb913690bf76c2fa9732009a168d9a,1.54e+21,0
0xf6168297046ca6fa514834c30168e63a47256af4,1.475e+21,0
0xb4c370a2f3d1c8d3f512ad493dd1e5aab31e845b,1.44e+21,0
0xf23f69493a24e79bd524f5f7fa8f12f96c7664bf,1.431e+21,0
0xbb42e28ef24b5f81495ac781c5b02d00d8d45bd3,1.4e+21,0
0x415aae29c70f7a67ca01ba80909a4fcc8f3dfd7e,1.373999e+21,0
0xe8b45eeaf8e81a6d7d73632d1a34dd698377fac7,1.361e+21,0
0xf23f8316d3158293c4d7a736f197591202ca959e,1.35e+21,0
0x8522d313a7c4b31eab5f67d53741fcbb7e472427,1.28e+21,0
0x9ca253bf6fb403963e018aa341eee70b6edfaaf2,1.23e+21,0
0xd2b7b2e073a1e36326ba5d40a9f042846ef4a4a3,1.18445200369e+21,0
0xf3fd470989d81d707c31fb693f19a07f443d3da3,1.18e+21,0
0xbef1bca48188bbde09ff13caabb78edfc632888b,1.175e+21,0
0x9ee59c11458d564f83c056af679da378a1f990a2,1.16e+21,0
0x9b568a55134729c25f0af3fa57d3ea8a7da148e5,1.13e+21,0
0x28ca953e7be82fbd2f7d2397d4907b336b810941,1.11e+21,0
0xbcad3a73b300730111b3ce09ddb89d701ca627ce,1.1e+21,0
0x396c7896654f4b46c15746753451fbef86bb177f,1.1e+21,0
0xc2891efe6dc61eab511ea1bf90ab5307fd5b2c28,1.084e+21,0
0x8488636d2bbd24f10573d7254e5d2df9f43b1f71,1.07e+21,0
0x661c7dcc8a311db36aa1bdb02eb8de504773720b,1.06e+21,0
0xf60f9686e899339df5cbc9eab9aa3dc7e3128d82,1.06e+21,0
0xee4968a9ed0b6db4316c1a3216d2b2847c459ed1,1.06e+21,0
0x62e74830e9e68a9cc2f001943182c0fc3336809a,1.04863298769e+21,0
0xcbe1ba0173f4a549add3760a5e92c2422b155ecf,1.035e+21,0
